 lambda  el is  lg A   lg gf  E_i   Eion(l) Eion(u)
5005.182 22  3  -7.05   -.52 18.341 13.580 27.491
5005.255 24  1  -6.37  -2.69  3.438     --  6.766
5005.300  7  2  -4.07   -.91 25.498 14.534 29.601
5005.300 27  1  -7.12  -2.70  3.530     --  7.860
5005.313 28  3  -5.79  -1.08 22.565 18.168 35.170
5005.368 26  2  -4.53  -3.22 11.238  7.870 16.180
5005.388 22  1  -7.05  -5.72  1.749     --  6.820
5005.403 26  3  -4.53  -1.76 22.272 16.180 30.651
5005.418 27  2  -7.12  -5.33  3.361  7.860 17.060
5005.458 25  2  -6.65  -4.42  5.520  7.435 15.640
5005.511 24  1  -6.37  -3.56  4.402     --  6.766
5005.516 21  1  -8.94  -1.19  3.083     --  6.540
5005.581 24  2  -6.37  -1.07 10.476  6.766 16.500
5005.593 24  1  -6.37  -2.52  3.438     --  6.766
5005.616 23  1  -8.04  -2.51  1.800     --  6.740
5005.621 20  3  -5.68   -.36 42.683 11.871 50.908
5005.659 28  2  -5.79  -1.07 12.437  7.635 18.168
5005.669 22  2  -7.05  -3.84  5.569  6.820 13.580
5005.676 28  3  -5.79  -1.82 22.565 18.168 35.170
5005.711 26  1  -4.53   -.18  3.884     --  7.870
5005.719 23  2  -8.04  -2.47  6.317  6.740 14.650
5005.731 25  1  -6.65  -5.21  3.771     --  7.435
5005.733 22  1  -7.05  -3.37  2.738     --  6.820
5005.739 24  2  -6.37  -3.72  5.873  6.766 16.500
5005.764 19  2  -6.92   -.69 20.239  4.341 31.625
5005.786 24  1  -6.37  -2.60  3.438     --  6.766
5005.809 17  1  -6.54  -4.32 10.307     -- 12.967
5005.809 21  1  -8.94  -2.65  2.509     --  6.540
5005.824 24  2  -6.37  -2.17  8.788  6.766 16.500
5005.869 26  1  -4.53  -6.76  2.176     --  7.870
5005.909 18  2  -5.48  -4.10 24.160 15.759 27.629
5005.934 26  2  -4.53  -3.58 10.778  7.870 16.180
5005.935 26  2  -4.53  -2.74 11.238  7.870 16.180
5006.009 20  1  -5.68  -4.04  5.049     --  6.113
5006.022 25  2  -6.65  -1.88 10.258  7.435 15.640
5006.057  9  1  -7.48  -1.60 14.400     -- 17.422
5006.059 14  1  -4.49  -1.33  5.082     --  8.151
5006.092 28  2  -5.79    .06 12.271  7.635 18.168
5006.117 26  1  -4.53   -.77  2.833     --  7.870
5006.142 22  1  -7.05  -1.73  3.559     --  6.820
5006.250 23  3  -8.04   -.27 17.506 14.650 29.310
5006.346 25  3  -6.65  -2.81 24.295 15.640 33.667
5006.388 24  2  -6.37  -3.63 10.865  6.766 16.500
5006.418 58  1 -10.49   -.58   .589     --  5.470
5006.420 58  1 -10.49   -.35   .826     --  5.470
5006.431 23  1  -8.04  -2.46  2.138     --  6.740
5006.524 21  1  -8.94  -3.41  5.321     --  6.540
5006.546 26  1  -4.53  -3.35  4.186     --  7.870
5006.658 22  1  -7.05   -.56  2.677     --  6.820
5006.700 26  1  -4.53  -4.86  2.588     --  7.870
5006.727 16  2  -4.83   -.41 16.246 10.360 23.330
5006.801 29  2  -7.83    .58 14.650  7.726 20.292
5006.804 21  3  -8.94   -.57 19.278 12.800 24.760
5006.804 21  3  -8.94    .32 19.278 12.800 24.760
5006.841 26  2  -4.53   -.43 10.379  7.870 16.180
5006.925 25  2  -6.65  -6.40  5.991  7.435 15.640
5006.964 39  1  -9.80   -.12  2.295     --  6.380
5006.967 25  4  -6.65  -5.41 18.968 33.667 51.200
5006.985 28  2  -5.79  -1.86 14.350  7.635 18.168
5006.992 20  1  -5.68  -1.63  4.769     --  6.113
5006.995 22  1  -7.05  -3.94  3.215     --  6.820
5007.000  6  1  -3.25  -4.51  8.647     -- 11.260
5007.068 17  2  -6.54  -2.72 19.002 12.967 23.810
5007.105 25  1  -6.65  -1.00  4.429     --  7.435
5007.155  9  1  -7.48  -1.73 14.400     -- 17.422
5007.158 18  1  -5.48  -2.31 13.153     -- 15.759
5007.209 22  1  -7.05    .14   .818     --  6.820
5007.238 26  2  -4.53  -3.52 11.164  7.870 16.180
5007.246 26  1  -4.53  -2.73  3.943     --  7.870
5007.286 27  1  -7.12  -3.87   .629     --  7.860
5007.293 26  1  -4.53   -.21  4.103     --  7.870
5007.328  7  2  -4.07    .16 20.940 14.534 29.601
5007.336 28  2  -5.79   -.19 14.038  7.635 18.168
5007.340 26  2  -4.53  -2.67 11.460  7.870 16.180
5007.381 25  1  -6.65   -.52  4.429     --  7.435
5007.447 26  2  -4.53   -.36 10.381  7.870 16.180
5007.464 26  3  -4.53  -3.16 23.095 16.180 30.651
5007.486 26  3  -4.53  -2.24 22.272 16.180 30.651
5007.529 24  1  -6.37  -5.66  3.011     --  6.766
5007.547 28  2  -5.79  -2.72 14.350  7.635 18.168
5007.611 42  1 -10.12  -1.43  3.212     --  7.099
5007.645 12  3  -4.46   -.39 70.010 15.035 80.143
5007.657 23  2  -8.04  -3.64  8.730  6.740 14.650
5007.705 25  1  -6.65  -4.70  3.772     --  7.435
5007.728 26  1  -4.53  -1.50  4.294     --  7.870
5007.739 26  2  -4.53   -.20 10.288  7.870 16.180
5007.740 24  1  -6.37  -1.96  4.855     --  6.766
5007.782  7  1  -4.07  -2.82 11.845     -- 14.534
5007.809 26  2  -4.53  -2.15 10.379  7.870 16.180
5007.810 28  2  -5.79  -1.39 12.437  7.635 18.168
5007.838 28  3  -5.79  -1.60 22.630 18.168 35.170
5007.888 25  3  -6.65  -3.75 24.270 15.640 33.667
5007.961 23  1  -8.04  -4.32  1.800     --  6.740
5007.968 23  1  -8.04  -3.29  3.066     --  6.740
5007.983 25  3  -6.65  -1.40 21.402 15.640 33.667
5008.057 18  2  -5.48  -3.50 23.485 15.759 27.629
5008.058 25  1  -6.65   -.38  4.429     --  7.435
5008.121 25  2  -6.65  -2.71 11.777  7.435 15.640
5008.201 24  2  -6.37  -3.62  6.822  6.766 16.500
5008.216 24  2  -6.37  -3.88 10.843  6.766 16.500
5008.218 26  2  -4.53  -2.36 10.909  7.870 16.180
5008.291 26  2  -4.53  -3.68 11.239  7.870 16.180
5008.334 28  2  -5.79    .10 12.437  7.635 18.168
5008.377 26  2  -4.53  -4.14 11.740  7.870 16.180
5008.391 20  1  -5.68  -2.19  5.181     --  6.113
5008.505 23  1  -8.04  -3.61  3.806     --  6.740
5008.570 24  2  -6.37  -2.63 10.882  6.766 16.500
5008.641 24  2  -6.37  -3.44 11.135  6.766 16.500
5008.706 22  1  -7.05  -4.84  1.997     --  6.820
5008.756 24  1  -6.37  -2.38  3.013     --  6.766
5008.786 22  3  -7.05   -.76 18.555 13.580 27.491
5008.794 22  3  -7.05  -1.74 15.844 13.580 27.491
5008.841 23  3  -8.04   -.85 17.548 14.650 29.310
5008.886 28  2  -5.79  -3.13 12.568  7.635 18.168
5008.917 20  3  -5.68  -1.71 44.993 11.871 50.908
5008.939 20  3  -5.68    .11 42.056 11.871 50.908
5008.999 25  3  -6.65  -2.02 14.354 15.640 33.667
5009.009 28  2  -5.79  -3.50 14.493  7.635 18.168
5009.021 42  1 -10.12  -1.51  3.359     --  7.099
5009.022 26  2  -4.53   -.41 10.348  7.870 16.180
5009.024 30  3  -7.44  -4.01 32.345 17.964 39.722
5009.024 30  3  -7.44  -1.93 32.345 17.964 39.722
5009.065 26  2  -4.53  -1.57 10.348  7.870 16.180
5009.103 58  1 -10.49    .19   .396     --  5.470
5009.152 26  3  -4.53  -3.05 23.099 16.180 30.651
5009.230 28  2  -5.79   -.35 12.271  7.635 18.168
5009.235 25  1  -6.65  -4.25  3.772     --  7.435
5009.296 28  3  -5.79  -2.40 25.790 18.168 35.170
5009.334 18  2  -5.48   -.45 16.749 15.759 27.629
5009.341 16  2  -4.83  -5.00 13.660 10.360 23.330
5009.366 21  1  -8.94  -3.65  3.083     --  6.540
5009.519 20  3  -5.68  -1.38 45.938 11.871 50.908
5009.567 16  2  -4.83   -.09 13.617 10.360 23.330
5009.569 29  2  -7.83  -3.16 15.939  7.726 20.292
5009.597 15  2  -6.59  -2.89 10.907 10.486 19.725
5009.627 21  4  -8.94   -.98 56.971 24.760 73.470
5009.646 22  1  -7.05  -2.17   .021     --  6.820
5009.673 22  1  -7.05  -2.55  2.154     --  6.820
5009.675  7  1  -4.07  -3.26 11.840     -- 14.534
5009.690 23  1  -8.04  -4.83  1.043     --  6.740
5009.773 24  1  -6.37  -1.72  3.013     --  6.766
5009.851 29  2  -7.83   -.74 14.392  7.726 20.292
5009.916 28  2  -5.79    .27 14.403  7.635 18.168
5010.014 24  3  -6.37  -8.62  9.342 16.500 30.960
5010.021 23  1  -8.04  -1.35  1.893     --  6.740
5010.022 28  1  -5.79  -1.04  3.768     --  7.635
5010.026 24  2  -6.37  -1.39 10.454  6.766 16.500
5010.032  9  1  -7.48  -2.77 14.387     -- 17.422
5010.046 20  1  -5.68  -3.04  4.780     --  6.113
5010.054 25  2  -6.65  -2.49 11.777  7.435 15.640
5010.060 26  2  -4.53   -.85 10.381  7.870 16.180
5010.075 42  1 -10.12  -1.66  3.302     --  7.099
5010.101 22  3  -7.05   -.31 18.471 13.580 27.491
5010.111 24  2  -6.37  -1.13 10.505  6.766 16.500
5010.139 24  1  -6.37  -1.65  3.556     --  6.766
5010.197 26  3  -4.53  -2.40 24.760 16.180 30.651
5010.212 22  2  -7.05  -1.34  3.095  6.820 13.580
5010.224 25  1  -6.65  -3.90  3.772     --  7.435
5010.267 26  2  -4.53  -3.62 10.522  7.870 16.180
5010.300 26  1  -4.53  -4.58  2.559     --  7.870
5010.342 23  2  -8.04  -4.08  2.510  6.740 14.650
5010.345 27  1  -7.12  -5.31  1.785     --  7.860
5010.345 25  1  -6.65  -3.55  2.941     --  7.435
5010.375 23  1  -8.04  -4.19  2.684     --  6.740
5010.388 25  1  -6.65  -1.40  3.373     --  7.435
5010.466 26  3  -4.53  -3.45 22.286 16.180 30.651
5010.525 29  2  -7.83  -4.89 15.941  7.726 20.292
5010.561 28  2  -5.79  -2.38 12.614  7.635 18.168
5010.589 22  1  -7.05  -5.43  1.739     --  6.820
5010.589 27  2  -7.12  -4.78  3.420  7.860 17.060
5010.621  7  2  -4.07   -.52 18.466 14.534 29.601
5010.664 25  2  -6.65  -6.14  5.520  7.435 15.640
5010.742 23  3  -8.04   -.50 19.162 14.650 29.310
5010.809 42  1 -10.12  -1.26  3.303     --  7.099
5010.857 27  4  -7.12  -4.27 22.124 33.500 51.300
5010.872 23  1  -8.04  -5.58  2.505     --  6.740
5010.933 24  2  -6.37  -2.05 10.476  6.766 16.500
5010.934 28  1  -5.79   -.87  3.635     --  7.635
5010.963 24  2  -6.37  -3.69 10.096  6.766 16.500
5011.029 26  2  -4.53  -1.18 10.381  7.870 16.180
5011.038 24  1  -6.37  -4.23  4.402     --  6.766
5011.211 24  2  -6.37  -4.20 10.882  6.766 16.500
